"area" "region" "zone" "meters" "direction" "con" "floor" "year" "school" "subway" "tax" "num" "price" "meters_cg" "year_cg" "num_cg" "price_cg"
"朝阳" "大西洋新城C区" "2室2厅" 67 "西" "望京二手房" "低楼层" 2000 "有学区" "有地铁" "非免税" 360 53732 "50~100" "00~05" "3~4" "5~6万"
"西城" "立恒名苑" "5室2厅" 408 "南" "天宁寺二手房" "低楼层" 2002 "有学区" "无地铁" "非免税" 950 23285 ">200" "00~05" "9~10" "2~3万"
"海淀" "加气混凝土厂宿舍" "2室2厅" 75 "南北" "清河二手房" "低楼层" 1996 "无学区" "有地铁" "非免税" 290 38667 "50~100" "95~00" "2~3" "3~4万"
"海淀" "金沟河12号院" "1室1厅" 47 "南" "玉泉路二手房" "高楼层" 1997 "无学区" "无地铁" "非免税" 260 54622 "0~50" "95~00" "2~3" "5~6万"
"燕郊" "福泽御园" "2室1厅" 83 "南" "燕郊城区二手房" "中楼层" 2007 "无学区" "无地铁" "非免税" 95 11446 "50~100" "05~10" "0~1" "1~2万"
"房山" "徜徉嘉园8号院" "3室2厅" 136 "南北" "长阳二手房" "低楼层" 2010 "无学区" "无地铁" "非免税" 350 25736 "100~150" "10~15" "3~4" "2~3万"
"丰台" "南庭新苑南区" "2室1厅" 68 "南北" "新宫二手房" "中楼层" 2011 "无学区" "无地铁" "非免税" 220 32353 "50~100" "10~15" "2~3" "3~4万"
"亦庄" "博客雅居" "1室1厅" 57 "南" "亦庄二手房" "高楼层" 2008 "无学区" "有地铁" "非免税" 120 21053 "50~100" "05~10" "1~2" "2~3万"
"朝阳" "龙头公寓" "1室1厅" 55 "北" "华威桥二手房" "中楼层" 2000 "无学区" "有地铁" "非免税" 180 32728 "50~100" "00~05" "1~2" "3~4万"
"顺义" "马坡花园一区" "3室2厅" 128 "南北" "马坡二手房" "中楼层" 1998 "无学区" "无地铁" "非免税" 205 16016 "100~150" "95~00" "2~3" "1~2万"
"石景山" "广安﹒康馨家园" "2室1厅" 79 "南北" "卢沟桥二手房" "高楼层" 2014 "无学区" "无地铁" "非免税" 215 27216 "50~100" "10~15" "2~3" "2~3万"
"海淀" "悦MOMA" "1室0厅" 60 "南" "安宁庄二手房" "高楼层" 2010 "无学区" "无地铁" "非免税" 200 33157 "50~100" "10~15" "1~2" "3~4万"
"海淀" "西山洋房" "1室1厅" 38 "南" "田村二手房" "中楼层" 2004 "无学区" "无地铁" "非免税" 225 58886 "0~50" "00~05" "2~3" "5~6万"
"海淀" "iMOMA" "1室0厅" 45 "东" "西二旗二手房" "低楼层" 2006 "无学区" "无地铁" "非免税" 135 30000 "0~50" "05~10" "1~2" "2~3万"
"燕郊" "星河皓月" "2室2厅" 90 "南北" "燕郊城区二手房" "高楼层" 2006 "无学区" "无地铁" "非免税" 138 15334 "50~100" "05~10" "1~2" "1~2万"
"海淀" "亿城商务中心" "1室1厅" 150 "西北" "万柳二手房" "中楼层" 2004 "无学区" "有地铁" "非免税" 600 40000 "100~150" "00~05" "5~6" "3~4万"
"丰台" "期颐百年" "1室1厅" 68 "南" "花乡二手房" "中楼层" 2011 "无学区" "无地铁" "非免税" 167 24559 "50~100" "10~15" "1~2" "2~3万"
"朝阳" "京通苑" "2室2厅" 109 "东北" "管庄二手房" "高楼层" 2000 "有学区" "有地铁" "非免税" 240 21910 "100~150" "00~05" "2~3" "2~3万"
"海淀" "新华联国际" "1室1厅" 38 "南" "公主坟二手房" "低楼层" 2008 "无学区" "无地铁" "非免税" 330 85648 "0~50" "05~10" "3~4" "8~9万"
"朝阳" "金泰先锋北区" "3室2厅" 131 "南北" "百子湾二手房" "低楼层" 2009 "无学区" "有地铁" "非免税" 495 37706 "100~150" "05~10" "4~5" "3~4万"
"朝阳" "CBD国际高尔夫别墅" "2室2厅" 125 "南北" "百子湾二手房" "低楼层" 2006 "无学区" "无地铁" "非免税" 580 46400 "100~150" "05~10" "5~6" "4~5万"
"东城" "法华南里" "2室1厅" 110 "南北" "崇文门二手房" "高楼层" 1996 "有学区" "有地铁" "非免税" 510 46364 "100~150" "95~00" "5~6" "4~5万"
"顺义" "富力湾" "4室2厅" 430 "东南西北" "马坡二手房" "低楼层" 2012 "无学区" "无地铁" "非免税" 1100 25582 ">200" "10~15" ">10" "2~3万"
"海淀" "学院南路乙10号院" "2室1厅" 62 "东" "小西天二手房" "高楼层" 1987 "有学区" "无地铁" "非免税" 290 46252 "50~100" "<1990" "2~3" "4~5万"
"丰台" "南开西里" "2室1厅" 67 "东西" "看丹桥二手房" "低楼层" 2000 "无学区" "无地铁" "非免税" 180 26866 "50~100" "00~05" "1~2" "2~3万"
"海淀" "文津国际酒店" "1室1厅" 76 "南" "五道口二手房" "中楼层" 2007 "无学区" "无地铁" "非免税" 300 39474 "50~100" "05~10" "2~3" "3~4万"
